decade,genre,bad word,number of appearance
decade,genre,bad word,number of appearance
1930,Family,knife,2
1930,Family,girls,11
1930,Family,gay,1
1930,Family,fear,6
1930,Family,enemy,4
1930,Family,sick,11
1930,Family,harder,3
1930,Family,mad,9
1930,Family,angry,5
1930,Family,killed,9
1930,Family,died,8
1930,Family,blow,3
1930,Family,black,9
1930,Family,lies,4
1930,Family,ass,1
1930,Family,bigger,4
1930,Family,laid,1
1930,Family,fire,7
1930,Family,nasty,5
1930,Family,death,9
1930,Family,sissy,2
1930,Family,shooting,1
1930,Family,desire,2
1930,Family,remains,5
1930,Family,drunk,2
1930,Family,fight,8
1930,Family,babe,1
1930,Family,kid,3
1930,Family,dead,21
1930,Family,devil,1
1930,Family,tongue,1
1930,Family,dirty,4
1930,Family,fat,3
1930,Family,kill,14
1930,Family,colored,1
1930,Family,faith,4
1930,Family,stupid,5
1930,Family,blind,2
1930,Family,idiot,1
1930,Family,buried,3
1930,Family,welfare,1
1930,Family,stroke,2
1930,Family,horn,1
1930,Family,hole,1
1930,Family,queer,1
1930,Family,die,3
1930,Family,hook,1
1930,Family,church,3
1930,Family,spit,1
1930,Family,erect,1
1930,Family,attack,3
1930,Family,itch,1
1930,Family,whiz,4
1930,Family,color,1
1930,Family,kills,1
1930,Family,destroy,1
1930,Family,failed,1
1930,Family,doom,1
1930,Family,killing,2
1930,Family,chink,1
1930,Family,robber,1
1930,Family,adult,2
1930,Family,crime,1
1930,Family,execute,2
1930,Family,drunken,1
1930,Family,execution,1
1930,Family,murder,1
1930,Family,servant,2
1930,Family,crack,2
1930,Family,spank,2
1930,Family,fairies,1
1930,Family,fairy,1
1930,Family,beast,2
1930,Family,chin,1
1930,Family,virgin,1
1930,Family,dumb,2
decade,genre,bad word,number of appearance
1930,Drama,knife,14
1930,Drama,girls,64
1930,Drama,gay,14
1930,Drama,fear,26
1930,Drama,enemy,18
1930,Drama,sick,56
1930,Drama,harder,7
1930,Drama,mad,43
1930,Drama,angry,13
1930,Drama,killed,87
1930,Drama,died,31
1930,Drama,blow,26
1930,Drama,black,32
1930,Drama,lies,14
1930,Drama,ass,2
1930,Drama,bigger,9
1930,Drama,laid,14
1930,Drama,fire,50
1930,Drama,nasty,12
1930,Drama,nip,3
1930,Drama,bombs,3
1930,Drama,murder,22
1930,Drama,shoot,59
1930,Drama,shooting,17
1930,Drama,stupid,28
1930,Drama,conspiracy,1
1930,Drama,attack,7
1930,Drama,remains,8
1930,Drama,bombing,2
1930,Drama,kills,7
1930,Drama,hostage,1
1930,Drama,fight,67
1930,Drama,dead,69
1930,Drama,devil,27
1930,Drama,gun,24
1930,Drama,destroy,20
1930,Drama,death,48
1930,Drama,snatch,3
