decade,score,bad word,number of appearance
1940,5,bombs,2
1940,5,bombers,1
1940,5,kraut,1
1940,5,conservative,1
1940,5,beast,1
1940,5,church,1
1940,5,henhouse,1
1940,5,buried,3
1940,5,violence,2
1940,5,gay,1
1940,5,torture,1
1940,5,cum,1
1940,5,loser,1
1940,5,adult,1
1940,5,harder,1
1940,5,disturbed,1
1940,5,propaganda,1
1940,5,japanese,1
1940,5,execution,1
1940,5,stroke,2
1940,5,bomb,1
1940,5,american,2
1940,5,crap,1
1940,5,spit,3
1940,5,nazi,1
1940,5,swallow,1
1940,5,suck,1
1940,5,kid,2
1940,5,nasty,1
1940,5,kills,1
1940,5,funeral,1
1940,5,god,1
1940,5,poop,1
decade,score,bad word,number of appearance
1940,6,firing,10
1940,6,whites,2
1940,6,dead,80
1940,6,hook,10
1940,6,spic,1
1940,6,joint,9
1940,6,fire,77
1940,6,gay,20
1940,6,color,7
1940,6,knife,28
1940,6,death,82
1940,6,kill,217
1940,6,ho,5
1940,6,devil,33
1940,6,cigarette,10
1940,6,hole,19
1940,6,idiot,9
1940,6,kid,78
1940,6,church,37
1940,6,bigger,20
1940,6,die,85
1940,6,demon,3
1940,6,conspiracy,4
1940,6,dirty,36
1940,6,liberal,1
1940,6,coon,6
1940,6,nigger,1
1940,6,kike,1
1940,6,fight,116
1940,6,nasty,4
1940,6,sick,58
1940,6,murder,71
1940,6,disturbed,6
1940,6,mad,38
1940,6,attack,24
1940,6,blow,58
1940,6,enemy,23
1940,6,spit,8
1940,6,killed,165
1940,6,beast,11
1940,6,fear,42
1940,6,shoot,103
1940,6,kills,14
1940,6,blind,27
1940,6,girls,89
1940,6,angry,13
1940,6,burn,27
1940,6,drunk,19
1940,6,destroy,40
1940,6,bomb,12
1940,6,shooting,36
1940,6,pistol,16
1940,6,gun,97
1940,6,fat,22
1940,6,tongue,11
1940,6,pot,11
1940,6,bombs,3
1940,6,sniper,1
1940,6,harder,4
1940,6,black,75
1940,6,virgin,2
1940,6,horn,7
1940,6,weapon,3
1940,6,babies,5
1940,6,fairy,9
1940,6,escort,2
1940,6,laid,20
1940,6,crack,13
1940,6,dope,12
1940,6,murderer,16
1940,6,suicide,4
1940,6,butt,5
1940,6,swallow,9
1940,6,killing,43
1940,6,illegal,6
1940,6,dive,4
1940,6,remains,6
1940,6,lies,18
1940,6,torture,11
1940,6,faith,24
1940,6,dies,2
1940,6,colored,7
1940,6,slave,5
1940,6,whiskey,7
1940,6,died,60
1940,6,god,8
1940,6,children's,3
1940,6,buried,27
1940,6,squaw,2
1940,6,drunken,6
1940,6,amateur,4
1940,6,bombing,2
1940,6,corruption,5
1940,6,diseases,1
1940,6,desire,17
1940,6,servant,7
1940,6,cock,2
1940,6,stupid,25
1940,6,chin,8
1940,6,queer,9
1940,6,liquor,13
1940,6,boom,2
1940,6,criminal,17
1940,6,crap,2
1940,6,deposit,5
1940,6,spank,1
1940,6,loser,6
1940,6,lotion,1
1940,6,gin,7
1940,6,cocktail,5
1940,6,japanese,4
1940,6,crash,2
1940,6,chinese,1
1940,6,american,2
1940,6,jap,1
1940,6,fu,1
1940,6,headlights,2
1940,6,women's,6
1940,6,period,3
1940,6,gyp,3
1940,6,husky,1
1940,6,penthouse,2
1940,6,sucker,6
1940,6,dumb,24
1940,6,stroke,3
1940,6,hell,8
1940,6,damn,3
1940,6,violence,6
1940,6,disease,4
1940,6,refugee,1
1940,6,nazi,3
1940,6,german,1
1940,6,naked,5
1940,6,banging,1
1940,6,sex,1
1940,6,killer,10
1940,6,premature,1
1940,6,spunk,1
1940,6,suck,1
1940,6,sweetness,3
1940,6,poverty,2
1940,6,failed,8
1940,6,failure,2
1940,6,crimes,3
1940,6,explosion,2
1940,6,crime,10
1940,6,diddle,12
1940,6,beaver,1
1940,6,jackass,5
1940,6,bible,1
1940,6,erect,1
1940,6,orgy,1
1940,6,radical,2
1940,6,muff,1
1940,6,sob,1
1940,6,propaganda,1
1940,6,criminals,3
1940,6,booby,3
1940,6,execute,1
1940,6,tramp,1
1940,6,moron,1
1940,6,balls,1
1940,6,assassination,3
1940,6,assassin,9
1940,6,hostage,1
1940,6,executed,6
1940,6,execution,2
1940,6,terrorist,1
1940,6,terror,5
1940,6,welfare,2
1940,6,backseat,1
1940,6,scum,5
1940,6,smack,5
1940,6,bombers,2
1940,6,toilet,1
1940,6,snatch,1
1940,6,weenie,1
1940,6,conservative,1
1940,6,executioner,1
1940,6,nip,1
1940,6,assault,2
1940,6,dong,3
1940,6,peck,1
1940,6,tit,1
1940,6,cemetery,4
1940,6,blackout,1
1940,6,kink,1
1940,6,drug,9
1940,6,adult,2
1940,6,fore,1
1940,6,babe,1
1940,6,doo-doo,10
1940,6,dick,1
1940,6,coloured,1
decade,score,bad word,number of appearance
1940,7,prick,4
1940,7,dead,131
1940,7,mad,55
1940,7,fight,82
1940,7,kill,245
1940,7,bigger,29
1940,7,buried,38
1940,7,death,73
1940,7,killed,223
1940,7,die,115
1940,7,dirty,43
1940,7,butt,4
1940,7,burn,18
1940,7,shoot,69
1940,7,murder,93
1940,7,execution,6
1940,7,died,57
1940,7,idiot,16
1940,7,gross,5
1940,7,desire,23
1940,7,erect,1
1940,7,devil,24
1940,7,stupid,68
1940,7,girls,63
1940,7,fear,40
1940,7,laid,27
1940,7,black,60
1940,7,blow,50
1940,7,fire,72
1940,7,fat,34
1940,7,queer,2
1940,7,torture,8
1940,7,angry,29
1940,7,cigarette,28
1940,7,tongue,9
1940,7,destroy,22
1940,7,attack,22
1940,7,poverty,6
1940,7,criminal,16
1940,7,killing,42
1940,7,failed,14
1940,7,faith,21
1940,7,welfare,5
1940,7,church,29
1940,7,funeral,7
1940,7,period,5
1940,7,women's,7
1940,7,enemy,27
1940,7,whites,2
1940,7,pot,16
1940,7,bomb,8
1940,7,drunken,8
1940,7,escort,7
1940,7,shooting,30
1940,7,gun,80
1940,7,lies,19
1940,7,suicide,9
1940,7,nigger,1
1940,7,niggers,2
1940,7,remains,11
1940,7,sweetness,2
1940,7,suck,3
1940,7,dick,4
1940,7,drunk,39
1940,7,sick,75
1940,7,kills,10
1940,7,sucker,21
1940,7,kid,63
1940,7,dope,6
1940,7,sob,1
1940,7,killer,10
1940,7,knife,21
1940,7,hell,22
1940,7,horn,12
1940,7,damn,6
1940,7,propaganda,2
1940,7,weapon,6
1940,7,blind,20
1940,7,terror,3
1940,7,boom,7
1940,7,hostage,1
1940,7,refugee,2
1940,7,crime,29
1940,7,dies,6
1940,7,bombing,9
1940,7,stroke,5
1940,7,joint,21
1940,7,gin,6
1940,7,crack,23
1940,7,harder,7
1940,7,slant,1
1940,7,tramp,6
